Fig_IDs,Left_Name,Right_Name,Clumpy_Rank_Left,Clumpy_Rank_Right,ClustMe_Rank_Left,ClustMe_Rank_Right
35,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,215,158,51,78
36,ms_interleaved_400_800_3d_50_PCA_data,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,238,146,184,153
37,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,ms_interleaved_400_800_3d_50_PCA_data,158,238,78,184
38,bbdm13_PCA_data,tse300_GlimmerMDS_2,7,193,185,218
39,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,n100-d10-c3-spr0.1-out0_PCA_data,216,16,109,155
40,n100-d10-c3-spr0.1-out0_PCA_data,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,16,215,155,51
41,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,tse300_GlimmerMDS_2,189,193,123,218
42,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,49,216,150,109
43,boston_TSNE_2D,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,142,49,128,150
44,ms_interleaved_400_800_3d_0_TSNE_2,n100-d5-c3-spr0.2-out0_RobPCA_data,14,102,12,248
45,interleaved_100_200_4d_25_cramped_rotated_PCA_data,ms_interleaved_400_800_3d_50_PCA_data,164,238,132,184
46,tse300_GlimmerMDS_2,n500-d10-c5-spr0.2-out0_PCA_data,193,185,218,168
47,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,ms_interleaved_400_800_3d_50_PCA_data,25,238,161,184
48,musicnetgroups_GlimmerMDS_2,hiv_TSNE_2,85,107,182,227
49,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,musicnetgroups_GlimmerMDS_2,249,85,32,182
50,interleaved_100_200_4d_25_cramped_rotated_PCA_data,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,164,249,132,32
51,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,49,215,150,51
52,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,25,249,161,32
53,n500-d10-c5-spr0.2-out0_PCA_data,n100-d10-c3-spr0.1-out0_PCA_data,185,16,168,155
54,n500-d10-c5-spr0.2-out0_PCA_data,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,185,25,168,161
55,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,musicnetgroups_GlimmerMDS_2,158,85,78,182
56,tse300_GlimmerMDS_2,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,193,158,218,78
57,n100-d5-c5-spr0.2-out0_TSNE_2,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,77,49,188,150
58,interleaved_100_200_15d_25_cramped_rotated_PCA_data,tse300_GlimmerMDS_2,240,193,89,218
59,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,146,158,153,78
60,n100-d5-c5-spr0.2-out0_RobPCA_data,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,109,49,205,150
61,ms_interleaved_400_800_3d_0_TSNE_2,n500-d5-c3-spr0.2-out0_TSNE_2,14,145,12,114
62,n100-d5-c5-spr0.2-out0_RobPCA_data,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,109,25,205,161
63,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,interleaved_100_200_4d_25_cramped_rotated_PCA_data,120,164,170,132
64,musicnetgroups_GlimmerMDS_2,n500-d5-c3-spr0.2-out0_TSNE_2,85,145,182,114
65,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,boston_TSNE_2D,66,142,38,128
66,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,interleaved_100_200_10d_25_cramped_rotated_PCA_data,66,247,38,27
67,interleaved_100_200_15d_25_cramped_rotated_PCA_data,hiv_TSNE_2,240,107,89,227
68,interleaved_100_200_10d_25_cramped_rotated_PCA_data,ms_interleaved_400_800_3d_50_PCA_data,247,238,27,184
69,interleaved_100_200_10d_25_cramped_rotated_PCA_data,n100-d10-c3-spr0.1-out0_PCA_data,247,16,27,155
70,n500-d5-c3-spr0.2-out0_TSNE_2,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,145,120,114,170
71,n100-d5-c5-spr0.2-out0_TSNE_2,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,77,146,188,153
72,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,n100-d5-c5-spr0.2-out0_RobPCA_data,120,109,170,205
73,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,ms_interleaved_400_800_3d_50_PCA_data,66,238,38,184
74,interleaved_100_200_15d_25_cramped_rotated_PCA_data,ms_interleaved_400_800_3d_0_TSNE_2,240,14,89,12
75,interleaved_100_200_10d_25_cramped_rotated_PCA_data,ms_interleaved_40_80_3d_50_PCA_data,247,101,27,233
76,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,189,216,123,109
77,boston_TSNE_2D,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,142,189,128,123
78,spambase_GlimmerMDS_2,ms_interleaved_400_800_3d_50_PCA_data,178,238,180,184
79,ms_interleaved_40_80_3d_50_PCA_data,ms_interleaved_400_800_3d_0_TSNE_2,101,14,233,12
80,n100-d10-c3-spr0.1-out0_PCA_data,boston_TSNE_2D,16,142,155,128
81,n500-d5-c3-spr0.2-out0_TSNE_2,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,145,158,114,78
82,n100-d5-c5-spr0.2-out0_RobPCA_data,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,109,146,205,153
83,ms_interleaved_40_80_3d_50_PCA_data,interleaved_100_200_4d_25_cramped_rotated_PCA_data,101,164,233,132
84,ms_interleaved_400_800_3d_0_TSNE_2,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,14,49,12,150
85,n500-d5-c3-spr0.2-out0_TSNE_2,interleaved_250_500_3_0_notCramped_rotated_PCA_data,145,219,114,52
86,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,hiv_TSNE_2,189,107,123,227
87,interleaved_100_200_15d_25_cramped_rotated_PCA_data,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,240,66,89,38
88,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,215,25,51,161
89,spambase_GlimmerMDS_2,n100-d5-c5-spr0.2-out0_RobPCA_data,178,109,180,205
90,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,tse300_GlimmerMDS_2,25,193,161,218
91,ms_interleaved_400_800_3d_50_PCA_data,n500-d10-c5-spr0.2-out0_PCA_data,238,185,184,168
92,musicnetgroups_GlimmerMDS_2,interleaved_250_500_3_0_notCramped_rotated_PCA_data,85,219,182,52
93,interleaved_250_500_3_0_notCramped_rotated_PCA_data,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,219,249,52,32
94,interleaved_100_200_15d_25_cramped_rotated_PCA_data,n100-d5-c5-spr0.2-out0_RobPCA_data,240,109,89,205
95,ms_interleaved_400_800_3d_50_PCA_data,ms_interleaved_400_800_3d_0_TSNE_2,238,14,184,12
96,bbdm13_PCA_data,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,7,146,185,153
97,interleaved_100_200_15d_25_cramped_rotated_PCA_data,interleaved_100_200_10d_25_cramped_rotated_PCA_data,240,247,89,27
98,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,musicnetgroups_GlimmerMDS_2,25,85,161,182
99,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,216,146,109,153
100,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,66,216,38,109
101,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,ms_interleaved_400_800_3d_0_TSNE_2,146,14,153,12
102,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,n100-d5-c3-spr0.2-out0_RobPCA_data,120,102,170,248
103,interleaved_100_200_4d_25_cramped_rotated_PCA_data,interleaved_100_200_15d_25_cramped_rotated_PCA_data,164,240,132,89
104,n100-d5-c5-spr0.2-out0_TSNE_2,interleaved_250_500_3_0_notCramped_rotated_PCA_data,77,219,188,52
105,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,spambase_GlimmerMDS_2,49,178,150,180
106,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,215,66,51,38
107,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,49,249,150,32
108,n100-d5-c5-spr0.2-out0_TSNE_2,ms_interleaved_400_800_3d_50_PCA_data,77,238,188,184
109,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,ms_interleaved_400_800_3d_0_TSNE_2,66,14,38,12
110,spambase_GlimmerMDS_2,italianwines_GlimmerMDS_2,178,103,180,214
111,spambase_GlimmerMDS_2,n100-d5-c3-spr0.2-out0_RobPCA_data,178,102,180,248
112,hiv_TSNE_2,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,107,158,227,78
113,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,215,120,51,170
114,n100-d5-c3-spr0.2-out0_RobPCA_data,interleaved_100_200_10d_25_cramped_rotated_PCA_data,102,247,248,27
115,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,ms_interleaved_400_800_3d_0_TSNE_2,120,14,170,12
116,spambase_GlimmerMDS_2,bbdm13_PCA_data,178,7,180,185
117,hiv_TSNE_2,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,107,146,227,153
118,bbdm13_PCA_data,ms_interleaved_400_800_3d_50_PCA_data,7,238,185,184
119,interleaved_250_500_3_0_notCramped_rotated_PCA_data,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,219,146,52,153
120,hiv_TSNE_2,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,107,66,227,38
121,n100-d5-c5-spr0.2-out0_TSNE_2,italianwines_GlimmerMDS_2,77,103,188,214
122,musicnetgroups_GlimmerMDS_2,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,85,146,182,153
123,n500-d10-c5-spr0.2-out0_PCA_data,n100-d5-c5-spr0.2-out0_RobPCA_data,185,109,168,205
124,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,ms_interleaved_400_800_3d_0_TSNE_2,216,14,109,12
125,ms_interleaved_40_80_3d_50_PCA_data,bbdm13_PCA_data,101,7,233,185
126,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,spambase_GlimmerMDS_2,120,178,170,180
127,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,hiv_TSNE_2,249,107,32,227
128,musicnetgroups_GlimmerMDS_2,n100-d5-c5-spr0.2-out0_RobPCA_data,85,109,182,205
129,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,boston_TSNE_2D,158,142,78,128
130,hiv_TSNE_2,n100-d5-c5-spr0.2-out0_RobPCA_data,107,109,227,205
131,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,49,25,150,161
132,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,musicnetgroups_GlimmerMDS_2,215,85,51,182
133,interleaved_100_200_15d_25_cramped_rotated_PCA_data,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,240,215,89,51
134,interleaved_100_200_15d_25_cramped_rotated_PCA_data,n100-d10-c3-spr0.1-out0_PCA_data,240,16,89,155
135,interleaved_100_200_10d_25_cramped_rotated_PCA_data,italianwines_GlimmerMDS_2,247,103,27,214
136,italianwines_GlimmerMDS_2,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,103,120,214,170
137,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,interleaved_100_200_10d_25_cramped_rotated_PCA_data,189,247,123,27
138,boston_TSNE_2D,italianwines_GlimmerMDS_2,142,103,128,214
139,hiv_TSNE_2,interleaved_100_200_10d_25_cramped_rotated_PCA_data,107,247,227,27
140,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,n500-d10-c5-spr0.2-out0_PCA_data,216,185,109,168
141,n100-d5-c3-spr0.2-out0_RobPCA_data,n100-d5-c5-spr0.2-out0_TSNE_2,102,77,248,188
142,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,spambase_GlimmerMDS_2,25,178,161,180
143,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,n100-d5-c5-spr0.2-out0_RobPCA_data,216,109,109,205
144,n500-d5-c3-spr0.2-out0_TSNE_2,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,145,249,114,32
145,spambase_GlimmerMDS_2,boston_TSNE_2D,178,142,180,128
146,ms_interleaved_40_80_3d_50_PCA_data,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,101,189,233,123
147,n100-d5-c3-spr0.2-out0_RobPCA_data,hiv_TSNE_2,102,107,248,227
148,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,ms_interleaved_40_80_3d_50_PCA_data,66,101,38,233
149,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,120,49,170,150
150,bbdm13_PCA_data,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,7,25,185,161
151,ms_interleaved_400_800_3d_50_PCA_data,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,238,215,184,51
152,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,ms_interleaved_400_800_3d_50_PCA_data,49,238,150,184
153,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,interleaved_250_500_3_0_notCramped_rotated_PCA_data,66,219,38,52
154,interleaved_100_200_15d_25_cramped_rotated_PCA_data,italianwines_GlimmerMDS_2,240,103,89,214
155,bbdm13_PCA_data,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,7,189,185,123
156,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,n100-d5-c5-spr0.2-out0_RobPCA_data,189,109,123,205
157,tse300_GlimmerMDS_2,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,193,215,218,51
158,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,italianwines_GlimmerMDS_2,189,103,123,214
159,n500-d5-c3-spr0.2-out0_TSNE_2,n500-d10-c5-spr0.2-out0_PCA_data,145,185,114,168
160,n100-d10-c3-spr0.1-out0_PCA_data,interleaved_100_200_4d_25_cramped_rotated_PCA_data,16,164,155,132
161,hiv_TSNE_2,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,107,25,227,161
162,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,boston_TSNE_2D,249,142,32,128
163,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,ms_interleaved_400_800_3d_0_TSNE_2,189,14,123,12
164,bbdm13_PCA_data,interleaved_100_200_10d_25_cramped_rotated_PCA_data,7,247,185,27
165,tse300_GlimmerMDS_2,n100-d5-c5-spr0.2-out0_RobPCA_data,193,109,218,205
166,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,66,146,38,153
167,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,interleaved_100_200_15d_25_cramped_rotated_PCA_data,146,240,153,89
168,italianwines_GlimmerMDS_2,tse300_GlimmerMDS_2,103,193,214,218
169,tse300_GlimmerMDS_2,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,193,249,218,32
170,interleaved_250_500_3_0_notCramped_rotated_PCA_data,spambase_GlimmerMDS_2,219,178,52,180
171,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,n100-d5-c3-spr0.2-out0_RobPCA_data,158,102,78,248
172,n500-d5-c3-spr0.2-out0_TSNE_2,boston_TSNE_2D,145,142,114,128
173,bbdm13_PCA_data,hiv_TSNE_2,7,107,185,227
174,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,n100-d10-c3-spr0.1-out0_PCA_data,189,16,123,155
175,ms_interleaved_400_800_3d_0_TSNE_2,hiv_TSNE_2,14,107,12,227
176,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,ms_interleaved_400_800_3d_50_PCA_data,189,238,123,184
177,n100-d10-c3-spr0.1-out0_PCA_data,n100-d5-c3-spr0.2-out0_RobPCA_data,16,102,155,248
178,italianwines_GlimmerMDS_2,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,103,215,214,51
179,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,n100-d5-c5-spr0.2-out0_RobPCA_data,215,109,51,205
180,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,146,49,153,150
181,n100-d5-c5-spr0.2-out0_TSNE_2,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,77,216,188,109
182,n100-d5-c3-spr0.2-out0_RobPCA_data,musicnetgroups_GlimmerMDS_2,102,85,248,182
183,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,158,49,78,150
184,interleaved_100_200_4d_25_cramped_rotated_PCA_data,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,164,189,132,123
185,n100-d10-c3-spr0.1-out0_PCA_data,musicnetgroups_GlimmerMDS_2,16,85,155,182
186,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,n500-d5-c3-spr0.2-out0_TSNE_2,66,145,38,114
187,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,ms_interleaved_40_80_3d_50_PCA_data,249,101,32,233
188,n500-d5-c3-spr0.2-out0_TSNE_2,ms_interleaved_400_800_3d_50_PCA_data,145,238,114,184
189,tse300_GlimmerMDS_2,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,193,120,218,170
190,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,italianwines_GlimmerMDS_2,146,103,153,214
191,n100-d5-c5-spr0.2-out0_TSNE_2,n500-d10-c5-spr0.2-out0_PCA_data,77,185,188,168
192,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,interleaved_100_200_10d_25_cramped_rotated_PCA_data,215,247,51,27
193,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,n100-d5-c3-spr0.2-out0_RobPCA_data,215,102,51,248
194,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,bbdm13_PCA_data,158,7,78,185
195,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,120,66,170,38
196,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,158,249,78,32
197,n500-d5-c3-spr0.2-out0_TSNE_2,n100-d5-c5-spr0.2-out0_TSNE_2,145,77,114,188
198,n100-d10-c3-spr0.1-out0_PCA_data,n100-d5-c5-spr0.2-out0_TSNE_2,16,77,155,188
199,boston_TSNE_2D,hiv_TSNE_2,142,107,128,227
200,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,interleaved_100_200_15d_25_cramped_rotated_PCA_data,120,240,170,89
201,interleaved_100_200_15d_25_cramped_rotated_PCA_data,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,240,249,89,32
202,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,120,216,170,109
203,boston_TSNE_2D,n100-d5-c5-spr0.2-out0_RobPCA_data,142,109,128,205
204,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,italianwines_GlimmerMDS_2,249,103,32,214
205,hiv_TSNE_2,ms_interleaved_40_80_3d_50_PCA_data,107,101,227,233
206,spambase_GlimmerMDS_2,hiv_TSNE_2,178,107,180,227
207,n100-d5-c3-spr0.2-out0_RobPCA_data,n100-d5-c5-spr0.2-out0_RobPCA_data,102,109,248,205
208,ms_interleaved_40_80_3d_50_PCA_data,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,101,49,233,150
209,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,n500-d10-c5-spr0.2-out0_PCA_data,49,185,150,168
210,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,249,189,32,123
211,bbdm13_PCA_data,ms_interleaved_400_800_3d_0_TSNE_2,7,14,185,12
212,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,interleaved_100_200_4d_25_cramped_rotated_PCA_data,25,164,161,132
213,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,215,146,51,153
214,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,158,216,78,109
215,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,n500-d5-c3-spr0.2-out0_TSNE_2,215,145,51,114
216,interleaved_250_500_3_0_notCramped_rotated_PCA_data,ms_interleaved_400_800_3d_50_PCA_data,219,238,52,184
217,interleaved_100_200_4d_25_cramped_rotated_PCA_data,n500-d5-c3-spr0.2-out0_TSNE_2,164,145,132,114
218,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,249,120,32,170
219,interleaved_100_200_15d_25_cramped_rotated_PCA_data,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,240,49,89,150
220,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,tse300_GlimmerMDS_2,216,193,109,218
221,musicnetgroups_GlimmerMDS_2,ms_interleaved_400_800_3d_50_PCA_data,85,238,182,184
222,interleaved_100_200_4d_25_cramped_rotated_PCA_data,boston_TSNE_2D,164,142,132,128
223,bbdm13_PCA_data,n100-d5-c3-spr0.2-out0_RobPCA_data,7,102,185,248
224,ms_interleaved_400_800_3d_0_TSNE_2,interleaved_100_200_10d_25_cramped_rotated_PCA_data,14,247,12,27
225,musicnetgroups_GlimmerMDS_2,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,85,49,182,150
226,n100-d5-c5-spr0.2-out0_RobPCA_data,n100-d5-c5-spr0.2-out0_TSNE_2,109,77,205,188
227,ms_interleaved_40_80_3d_50_PCA_data,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,101,215,233,51
228,ms_interleaved_40_80_3d_50_PCA_data,ms_interleaved_400_800_3d_50_PCA_data,101,238,233,184
229,spambase_GlimmerMDS_2,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,178,158,180,78
230,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,n500-d10-c5-spr0.2-out0_PCA_data,215,185,51,168
231,boston_TSNE_2D,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,142,146,128,153
232,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,n100-d5-c3-spr0.2-out0_RobPCA_data,216,102,109,248
233,tse300_GlimmerMDS_2,ms_interleaved_400_800_3d_0_TSNE_2,193,14,218,12
234,interleaved_100_200_10d_25_cramped_rotated_PCA_data,n500-d10-c5-spr0.2-out0_PCA_data,247,185,27,168
